branch,client_id,region,first_purchase,orders_count,payment_sum
SO,0,Волгоградская область,2013-24-07,7,155644.41
SO,1,Ростовская область,2010-02-08,1,44931.11
UR,0,Курганская область,2011-21-04,7,149754.90
VG,0,Саратовская область,2014-06-12,4,3777.02
UR,1,Тюменская область,2010-02-05,4,63221.85
SO,2,Республика Калмыкия,2012-29-10,24,149659.20
NW,0,Калининградская область,2014-14-10,3,51584.71
VG,1,Республика Татарстан,2015-02-05,15,41594.70
NW,1,Архангельская область,2011-29-07,0,0.00
VG,2,Самарская область,2013-12-08,5,10902.67
NW,2,Республика Карелия,2013-12-04,17,145182.29
UR,2,Свердловская область,2010-14-08,10,162220.34
VG,3,Удмуртская Республика,2012-11-03,15,161300.76
VG,4,Удмуртская Республика,2012-15-01,5,62058.42
VG,5,Самарская область,2011-15-09,18,241802.85
SO,3,Республика Калмыкия,2012-21-01,4,102516.89
VG,6,Самарская область,2013-07-02,6,65476.30
SB,0,Республика Бурятия,2011-12-09,18,944291.62
NW,3,Вологодская область,2014-28-05,8,121275.00
SO,4,Волгоградская область,2014-29-11,15,273299.54
SO,5,Республика Крым,2014-29-08,14,285730.42
NK,0,Республика Ингушетия,2013-14-01,6,68333.61
VG,7,Республика Мордовия,2013-22-01,24,150255.60
CE,0,Брянская область,2016-07-01,2,9608.39
UR,3,Курганская область,2011-08-08,8,295747.78
VG,8,Республика Татарстан,2016-26-03,10,157672.21
SO,6,Республика Крым,2014-03-11,3,9224.79
FE,0,Республика Саха (Якутия),2010-22-09,23,217363.28
NW,4,Республика Карелия,2010-01-10,28,77788.95
SO,7,Республика Калмыкия,2012-17-04,17,5390.71
NK,1,Чеченская Республика,2013-07-01,12,122251.27
VG,9,Республика Марий Эл,2012-29-08,21,220923.63
VG,10,Республика Татарстан,2010-25-09,6,8314.08
FE,1,Чукотский автономный округ,2014-05-02,5,103729.38
CE,1,Курская область,2014-14-02,10,105347.65
VG,11,Нижегородская область,2011-06-08,7,72433.65
CE,2,Тверская область,2016-06-05,4,58122.73
FE,2,Амурская область,2012-15-04,9,61089.80
NK,2,Ставропольский край,2014-13-06,2,52297.49
UR,4,Ямало-Ненецкий автономный округ,2014-27-06,2,41526.30
SO,8,Краснодарский край,2014-15-02,13,187092.04
NK,3,Кабардино-Балкарская Республика,2013-17-08,8,274440.05
SB,1,Республика Хакасия,2010-22-01,13,27207.87
SB,2,Алтайский край,2015-19-04,9,319616.99
NK,4,Чеченская Республика,2013-30-11,6,49797.37
NW,5,Калининградская область,2011-22-09,1,16384.27
VG,12,Пензенская область,2010-04-12,7,83133.22
SO,9,Республика Адыгея,2015-10-07,13,207182.50
FE,3,Приморский край,2015-17-04,6,21690.02
VG,13,Чувашская Республика,2010-13-06,16,348488.65
SO,10,Республика Адыгея,2014-02-05,21,511353.27
NK,5,Республика Ингушетия,2013-03-08,18,555246.92
VG,14,Пензенская область,2012-07-10,3,36386.17
CE,3,Московская область,2016-08-01,12,250733.93
FE,4,Магаданская область,2013-20-03,5,28883.97
UR,5,Челябинская область,2010-17-12,8,93326.83
VG,15,Республика Татарстан,2013-22-11,8,50852.10
NW,6,Мурманская область,2012-19-03,6,77824.49
FE,5,Республика Саха (Якутия),2014-19-11,17,267867.25
NK,6,Карачаево-Черкесская Республика,2015-14-07,5,122554.27
SO,11,Республика Калмыкия,2010-28-07,11,26546.85
SO,12,Краснодарский край,2016-13-04,13,230496.74
VG,16,Пермский край,2014-30-10,7,122044.94
FE,6,Магаданская область,2014-11-03,10,55077.34
CE,4,Орловская область,2012-26-07,5,63487.13
VG,17,Чувашская Республика,2011-08-03,6,225188.43
NK,7,Республика Северная Осетия,2015-19-01,3,59735.43
UR,6,Курганская область,2010-12-06,9,114119.32
UR,7,Челябинская область,2012-22-02,14,24846.90
FE,7,Чукотский автономный округ,2015-16-03,22,440300.95
UR,8,Ханты-Мансийский автономный округ,2012-26-07,9,74997.18
CE,5,Липецкая область,2012-04-01,10,453641.61
SO,13,Республика Крым,2012-06-11,6,56782.33
CE,6,Смоленская область,2011-01-05,10,301332.08
SO,14,Республика Крым,2015-21-05,16,513039.52
CE,7,Брянская область,2016-22-03,15,42390.90
NK,8,Карачаево-Черкесская Республика,2012-31-07,9,61346.72
NW,7,Республика Коми,2016-04-07,5,113369.21
UR,9,Свердловская область,2016-10-03,6,85344.96
NK,9,Республика Ингушетия,2016-04-01,6,207951.66
SB,3,Томская область,2010-25-11,24,650701.86
SO,15,Ростовская область,2014-01-01,12,278151.13
CE,8,Смоленская область,2011-21-05,5,51172.45
NW,8,Республика Карелия,2010-09-06,20,45403.93
NW,9,Новгородская область,2010-26-06,6,142304.33
UR,10,Тюменская область,2015-24-11,8,109948.10
SB,4,Республика Бурятия,2010-06-07,3,32722.62
SO,16,Краснодарский край,2013-24-09,9,36447.36
UR,11,Челябинская область,2012-04-03,16,357858.49
SB,5,Кемеровская область,2011-04-03,12,53271.68
UR,12,Ханты-Мансийский автономный округ,2012-14-12,6,133145.18
UR,13,Ямало-Ненецкий автономный округ,2010-05-12,7,77020.89
UR,14,Курганская область,2010-23-01,12,660907.90
FE,8,Хабаровский край,2014-16-11,18,211247.24
UR,15,Ямало-Ненецкий автономный округ,2011-20-10,5,140186.97
VG,18,Ульяновская область,2012-04-07,20,982210.39
FE,9,Приморский край,2015-16-12,17,435184.08
VG,19,Оренбургская область,2012-17-08,15,397955.50
CE,9,Брянская область,2011-25-07,7,149113.34
NK,10,Республика Северная Осетия,2014-22-04,4,102478.36
FE,10,Амурская область,2013-30-12,6,5506.81
UR,16,Ханты-Мансийский автономный округ,2011-25-03,16,9689.49
SB,6,Иркутская область,2016-28-04,1,26482.74
SO,17,Севастополь,2011-21-09,13,229420.91
CE,10,Московская область,2010-08-05,11,90735.70
CE,11,Курская область,2010-25-07,16,446446.46
SB,7,Алтайский край,2015-07-08,0,0.00
FE,11,Хабаровский край,2010-07-09,3,56165.07
NK,11,Карачаево-Черкесская Республика,2012-17-12,3,1946.70
VG,20,Республика Марий Эл,2015-31-07,9,58194.64
SB,8,Томская область,2011-29-05,17,105575.34
SO,18,Севастополь,2011-24-07,8,126818.03
SO,19,Республика Калмыкия,2016-24-05,22,98728.87
NW,10,Республика Карелия,2011-09-05,6,135596.44
FE,12,Приморский край,2014-05-12,14,223759.99
NW,11,Псковская область,2016-14-03,4,99848.50
